SqFt,Bedrooms,Bathrooms,Dist_Center,House_Age,Floors,Lot_Size,Walk_Score,HOA_Fee,Crime_Rate,Dist_School,Grocery_Stores,Prop_Tax,Maint_Cost,Median_Income,Region,House_Cond,Urban_Rural,House_Price
4513,4,3,43.7,53,3,13686,18,59.2,9,1.6,25,3.5,4798.82,34546,D,High,Rural,714382.79
1666,3,1,29.1,16,1,5791,5,378.04,50,8.5,22,4.85,9050.13,166528,D,Low,Urban,610425.43
4980,3,4,17.6,18,2,1329,24,49.06,92,2,18,2.42,7106.38,38228,A,High,Urban,865951.15
3044,2,3,40.2,90,2,9851,30,223.46,37,9.3,17,1.4,9534.38,20046,C,High,Urban,544656.79
4707,5,3,27.2,69,1,12310,8,367,128,2.6,19,4.18,1496.77,86355,E,Low,Urban,920880.63
3973,5,3,4.4,98,1,11164,83,86.61,135,7.4,19,3.85,885.77,187647,D,Medium,Rural,1093470.3
4569,6,2,28.5,119,3,19177,73,142.83,101,2.9,24,4.37,9749,152152,C,Medium,Urban,1059572.48
3146,6,2,45.4,100,3,6703,36,432.38,80,3.2,21,1.47,1261.83,135965,E,Medium,Rural,705329.55
1353,2,1,20.1,33,3,11649,26,442.56,82,3.2,17,2.32,4168.86,97462,D,Low,Rural,353105.06
2682,6,3,15.2,83,1,13672,12,22.47,142,7.5,27,4.92,6674.72,35930,C,Medium,Rural,530941.22
3374,4,4,7.6,24,1,5155,40,84.05,30,5.6,4,1.21,8860.54,133476,D,Medium,Urban,864339.81
3496,1,2,8,67,3,3611,65,58.74,20,8.8,7,3.52,2918.48,100823,C,High,Rural,646503.02
4785,1,4,21.9,73,3,19977,84,89.85,130,3.1,5,1.57,776.05,190581,B,Medium,Rural,1141844.13
1375,1,4,30,73,2,17479,96,485.09,125,7,26,2.75,5452.22,120521,B,Low,Rural,461775.53
2225,2,2,4.5,87,2,10180,23,275.83,34,7.6,29,4.1,4975.56,98880,A,Medium,Urban,567307.51
3669,2,2,47,84,3,10304,43,234.06,143,1.6,16,2.7,3415.49,192827,E,High,Rural,1000183.13
1017,3,2,37.9,10,3,15610,97,492.23,44,4.1,6,4.12,8802.04,27293,D,High,Rural,178774.23
714,1,2,29.5,90,2,9437,59,278.48,58,4.9,14,2.42,7618.56,88542,D,High,Rural,313634.68
1216,4,3,41.5,15,3,11350,8,330.56,11,3.6,26,5,8652.11,80528,C,High,Urban,435589.36
4574,6,3,4.5,89,2,13521,1,166.39,139,3.3,20,2.46,2037.19,175428,E,Medium,Urban,1080872.5
3867,4,3,24.1,60,2,7560,55,191.06,32,6.9,2,1.17,7077.91,128885,D,High,Rural,886209.51
1425,6,3,31.7,93,2,6247,29,297.2,20,2.2,25,2.31,9763.47,187983,E,High,Rural,676936.09
2116,1,1,41.5,112,1,5077,21,34.89,59,7.1,18,3.84,6313.18,165771,E,High,Urban,585436.52
3746,1,3,39.3,79,1,11858,74,127.94,51,9.4,18,4.32,2127.96,179506,B,Medium,Urban,825683.32
1012,1,2,14.2,6,3,12391,80,98.41,122,5.7,13,2.57,9959.91,74669,D,Low,Urban,354940.49
1328,2,4,47.1,15,2,11946,99,7.95,105,6.2,28,3.18,5519.07,37602,D,High,Rural,350736.48
3948,6,3,6.7,98,1,16186,12,268.45,99,0.8,18,4.3,8480.56,191858,A,High,Urban,1033305.43
3408,2,1,43.8,15,3,2417,70,280.53,70,8.7,17,4.16,1918.93,29952,E,High,Urban,591243.76
1275,2,2,48.6,39,3,17494,15,191.97,134,2.9,13,3.46,6827.91,61684,C,Medium,Urban,369334.02
4065,5,4,9.3,11,3,9954,96,134.36,61,6.2,28,4.17,9169.87,136032,B,Medium,Urban,1059958.56
3104,4,4,36.2,34,3,14591,44,326.03,87,9.8,12,3.09,5554.17,181561,A,High,Rural,952050.07
3567,4,3,2.5,112,3,8391,64,67.33,23,6,3,0.52,3242.27,52905,B,Low,Urban,815194.14
3386,3,4,20.6,20,2,12364,10,259.31,39,7.3,22,0.69,1710.51,73602,C,High,Rural,802094.85
1722,2,3,26.1,49,3,11371,69,384.04,75,4.5,7,4.91,3311.47,197996,A,Low,Urban,696304.28
4679,6,3,29.2,42,2,3504,19,82.15,135,0.7,1,1.15,3871.4,33381,B,Low,Rural,846984.68
2171,5,2,46.8,99,1,6239,98,376.63,8,8,5,2.32,7244.57,48130,C,Medium,Rural,429311.56
5673,5,2,33.8,111,3,17676,62,380.4,2,0.4,21,4.7,2196.9,50415,A,Medium,Rural,982690.77
5704,4,1,24.3,16,1,19118,89,29.96,20,7,1,1.38,1508,104679,C,Medium,Rural,1088963.75
2743,2,2,40.6,31,2,6120,11,9.39,94,0.3,4,4.3,4175.93,135458,A,Low,Urban,669861.42
2287,3,2,47.6,40,2,7393,61,486.97,15,8.6,26,4.18,4857.21,151460,D,Low,Rural,702334.08
4732,2,3,1.6,5,1,3196,93,96.69,106,1.7,1,4.94,6469.66,97652,D,Low,Rural,914293.4
4451,1,2,49.1,87,3,4466,91,411.07,92,5.2,13,1.77,7221.55,170878,B,Medium,Rural,972763.57
4040,2,3,4.8,26,3,2906,90,280.93,132,6,14,1.92,8948.14,84333,E,Medium,Rural,787390.99
4366,1,3,40.8,19,1,19105,41,132.24,138,4.6,15,4.56,3245.06,130930,E,Medium,Rural,953782.94
2926,1,2,14.4,24,1,12883,82,64.99,78,3.5,17,1.55,5521.77,24852,C,High,Urban,525056.78
3514,3,1,7,65,1,16437,68,248.34,69,4.7,12,2.97,3977.39,159699,A,Low,Rural,899882.38
5568,6,1,22.3,8,3,15497,57,203.68,47,3.2,7,3.68,513.51,180120,D,Low,Rural,1397266.26
5992,4,4,32.4,91,3,2816,4,349.44,14,4.4,23,1.72,6004.6,120286,E,High,Rural,1143969.9
4552,2,4,19.4,52,3,11713,26,452.08,33,3.7,19,4.72,8250.06,133120,D,Low,Rural,1013271.13
1195,1,2,3.2,60,1,4849,27,402.62,59,5.7,23,3.5,846.18,96596,C,Low,Rural,374215.71
1328,2,1,30.2,37,3,7849,25,137.23,1,2.5,3,0.71,533.17,146697,C,High,Urban,430174.67
1965,6,3,45.2,2,2,2058,90,439.47,79,9.9,18,1.11,7414.27,28209,A,Low,Urban,446299.12
5092,4,4,19.5,83,1,12730,48,416.7,18,5.1,26,1.36,6996.67,73482,E,Medium,Urban,945670.61
1298,6,3,11.2,69,3,19706,20,464.57,48,2,4,1.6,4355.6,58197,C,High,Rural,491508.23
995,4,4,22.4,102,1,18332,0,229.33,77,4.8,26,3.79,6785.25,97694,C,Low,Rural,374598.87
4771,5,2,2.9,96,2,5359,91,384.29,27,8.7,3,0.9,9557.17,169148,D,Medium,Urban,1115877.96
4960,4,1,41.1,54,2,13809,57,295.83,47,0.3,12,2.08,2854.7,137458,B,Low,Rural,1127437.44
3102,3,4,41.4,0,1,6660,78,155.25,95,6.8,23,4.6,2836.3,139614,E,High,Urban,819780.2
2419,6,1,29.6,100,1,8254,54,497.22,108,5.5,28,3.01,2269.21,109484,A,Medium,Rural,553909.08
1317,1,3,18,69,2,13822,80,19.15,72,1.8,12,1.69,7377.87,169151,A,Low,Rural,523652.89
3382,5,2,40.1,44,1,3093,25,81.14,99,8.2,17,4.81,3855.3,165050,D,High,Rural,737908.88
5546,3,1,28,97,2,12730,83,446.27,28,3.8,6,1.6,9892.58,32705,A,Low,Urban,882575.18
4177,2,2,41.4,46,2,18947,24,30.28,57,3,15,4.57,7289.16,177979,C,Low,Urban,945386.2
743,6,1,31.8,78,3,9217,76,443.41,47,8.3,2,3.77,3990.08,73832,E,Medium,Urban,282833.79
5580,1,3,39.3,108,1,17558,32,357.61,22,6.4,8,3.83,1917.27,107367,A,Low,Urban,1043089.34
3740,4,3,30.1,25,1,18718,88,18.34,26,9,14,3.94,6124.24,74612,E,High,Urban,811211.88
5091,1,2,21,13,3,17705,71,214.66,6,6.3,5,2.78,3301.58,129165,A,High,Urban,1031474.04
3538,2,3,47.9,53,2,13342,68,377.24,48,7.4,3,4.17,9102.34,93501,B,Medium,Rural,715020.48
4236,5,4,27.3,70,1,13239,5,291.55,108,8.4,10,4.26,4693.34,30248,B,Medium,Urban,790344.81
3822,5,1,30.5,45,3,14854,22,467.94,67,0.6,7,2.12,3280.17,66988,E,Low,Urban,767597.77
1767,6,3,11.4,30,3,14897,29,433.82,72,7.8,11,2.3,6091.24,109169,B,High,Urban,502909.19
3216,5,4,31.5,87,1,12419,77,166.32,100,6.2,15,4.5,1801.26,115039,B,Medium,Urban,805838.13
1662,6,2,28.8,58,3,11064,53,42.31,7,0.8,2,2.86,5834.72,27461,C,Low,Rural,316602.54
2756,6,4,9.6,94,2,16003,86,472.13,52,5.1,5,4.4,1033.06,178070,A,Low,Urban,794632.22
5761,6,2,3.4,28,3,11259,10,258.64,141,0.9,11,3.32,6265.44,163893,B,High,Urban,1259580.29
5905,4,2,30.4,105,2,6674,30,37.2,134,7.4,8,3.17,5536.56,39870,E,High,Urban,1067275.1
3582,3,1,38.3,95,2,6002,5,408.29,136,5.5,13,0.64,5447.28,33410,C,Low,Urban,537925.84
3894,6,1,26.4,16,1,1910,10,434.25,2,9.5,11,1.75,6999.56,107721,B,High,Rural,850874.62
5329,6,4,11.7,13,3,1949,76,319.71,77,1.9,17,2.76,922.34,39133,E,Low,Rural,1004646.62
1756,3,1,33.5,103,2,19898,11,223.75,144,6.1,15,3.14,4867.45,109705,A,Low,Rural,430674.16
5934,1,1,4.5,35,2,12523,65,331.09,85,2.2,1,3.34,4718.37,43359,B,High,Urban,1016212.58
1332,6,1,22.4,57,3,12221,52,353.34,45,6.2,19,3.72,4867.93,47400,E,Medium,Urban,305472.63
4930,4,4,8.6,111,2,17484,98,446.51,89,7.3,16,3.45,9808.96,54173,E,Low,Urban,946479.54
5446,5,3,9.6,23,3,5646,35,477.93,141,7.3,19,4.32,1823.15,31179,D,High,Rural,962159.54
1553,5,1,10.5,108,1,7945,16,257.16,8,8.2,13,1.83,7059.08,121879,E,Low,Rural,515231.62
3139,2,1,19.6,62,2,3400,27,399.25,114,8.6,23,3.39,4318.96,55495,D,Low,Urban,562375.54
3924,2,4,3,117,2,12563,91,482.25,129,0.9,22,0.73,5361.4,26487,A,Low,Urban,772711.17
3901,5,3,20.2,90,3,19727,21,75.62,74,3.5,23,2.66,7742.74,34760,A,High,Urban,740731.72
2142,5,1,25.8,24,3,1352,6,9.13,80,6.9,4,1.71,1995.07,147600,C,High,Rural,658363.47
5893,4,2,24.4,58,3,16489,14,434.48,127,5,11,2.21,7754.06,111975,D,High,Urban,1167033.28
1791,3,4,19.4,31,3,2018,95,97.64,33,2,18,2.1,1168.14,112465,E,Medium,Rural,498082.7
3593,2,1,42,115,2,18563,10,21.24,146,5.6,18,0.77,5091.44,49403,C,Low,Rural,561310.42
3281,3,1,7.7,81,1,6193,23,80.05,38,4.1,10,2.6,7549.67,135625,C,Medium,Rural,716992.73
1817,4,2,25.5,109,1,16701,66,192.06,12,4,17,4.98,2329.24,128576,A,Low,Rural,528275.5
2140,5,2,3.6,17,1,4536,29,109.63,132,8.1,13,1.85,7823.7,21755,E,High,Urban,394288.5
3836,6,4,4,36,1,16449,69,152.63,49,4.1,25,3.81,2084.72,148500,D,Low,Rural,999852.7
2986,3,4,28.9,25,3,12842,65,487.65,22,0.4,14,2.97,8092.77,187230,A,Low,Urban,894405.19
4319,5,2,28.5,8,2,19886,60,352.2,121,0.7,7,1.96,4954.89,91352,C,Low,Rural,942325.96
1988,5,4,44,98,2,4819,77,356.1,119,8.6,10,0.9,7004.06,183688,B,Medium,Urban,740759.78
2456,1,2,28.1,63,2,18363,40,47.34,87,9.6,3,1.47,9215.36,135891,C,High,Rural,715422.17
1965,3,1,48,71,3,1976,81,366.05,111,6.9,2,4.02,4380,96759,B,High,Rural,447411.2
1099,6,2,2.9,19,2,19664,50,369.67,110,3.7,19,1.76,2713.1,132133,A,Low,Rural,502176.42
2280,3,2,5.4,53,3,6897,43,329.87,71,9.4,7,1.15,8738.06,176038,D,High,Urban,781131.47
1110,5,3,2.7,105,2,16957,94,114.22,56,6.7,5,1.99,2035.36,27688,E,Medium,Rural,273813.36
4912,6,2,9.7,85,1,16359,12,211.52,0,8.5,28,3.13,6499.02,190556,B,Medium,Rural,1226511.19
1924,4,2,27.3,82,3,14240,89,423.14,112,7.7,3,3.67,9270.91,178625,E,High,Rural,681934.69
1755,1,3,32.5,29,2,1107,11,335.1,61,3.9,25,2.24,6906.77,89282,A,Medium,Rural,387863.76
2427,5,4,2.8,52,1,16524,81,366.38,46,4.8,2,2.74,2358.97,169651,A,Medium,Urban,798630.25
3741,2,3,47.3,91,1,2626,8,293.69,77,1.9,23,2.55,1946.7,164086,A,High,Urban,879656.08
4086,2,1,42.2,98,1,7229,84,224.79,105,3,26,0.54,2896.9,68443,D,High,Urban,686633.21
2410,1,3,15.2,106,3,7877,47,379.53,125,7.8,22,2.28,4218.36,193033,B,Low,Urban,878611.06
3523,4,1,4.3,62,3,1874,48,33.96,4,9,6,3.14,2012.01,139086,E,Low,Rural,808885.37
5901,5,4,8.9,10,2,6543,52,336.58,30,7.3,14,3.06,8079.23,56397,C,Medium,Rural,1057267.47
2814,3,3,6.8,30,1,4809,55,498.6,36,4.7,7,3.87,3891.84,93302,A,High,Rural,672773.57
4786,1,3,6.6,48,2,11603,39,390.1,78,1,22,3.52,9392.82,133417,E,Medium,Urban,1012231.78
1313,4,4,26.2,111,2,3107,23,145.28,142,0.7,2,1.75,8503.66,198250,E,High,Rural,506911.09
4202,3,1,12.7,102,1,12745,97,138.91,51,3.8,11,1.65,9133.77,21063,D,Medium,Urban,723532.91
4734,2,3,18.2,99,2,10465,71,333.61,138,4.7,21,2.59,3297.68,160406,B,Medium,Urban,1081571.17
4122,2,1,49.5,93,3,1559,32,447.93,42,6.1,3,3.8,5950.45,95848,D,Medium,Urban,787961.85
4868,3,3,34.4,86,2,9308,22,288.97,39,0.2,9,0.92,3553.77,176199,D,Low,Rural,1116343.36
5348,1,2,47.5,18,1,16250,76,263.7,62,9.9,8,4.77,2941.01,187115,E,High,Rural,1189530.45
5449,2,3,7.6,11,3,14255,53,80.19,129,3.7,26,2.94,6267.32,86512,B,Medium,Rural,1067869.52
1843,5,4,19.4,14,3,4046,52,357.73,86,8.5,11,1.88,8270.96,130687,B,Low,Urban,610240.27
4309,6,4,28,30,2,14856,48,351.15,72,5.4,18,3.62,1389.18,146230,B,Medium,Rural,1014299.67
1681,3,1,4.3,42,2,17427,77,483.48,103,1.4,1,0.7,3119.8,155141,A,Medium,Rural,690840.62
1055,3,3,0.7,100,3,1508,77,150.1,15,8,15,2.68,2448.77,148167,B,High,Urban,543656.54
5524,2,1,33.7,36,2,7107,79,378.22,58,7.1,4,2.69,8084.33,166676,E,Medium,Rural,1187983.66
1494,1,1,32.3,78,1,14476,48,217.03,46,5.3,4,1.23,9367.03,34612,A,High,Rural,259926.73
1984,5,2,20.8,28,2,4439,59,279.24,115,5.2,28,4.27,1259.46,59170,C,Low,Urban,480695.61
2558,1,2,24.7,113,2,14136,89,408.23,108,1,10,4.09,4102.53,196173,D,Low,Urban,743741.76
3672,4,4,21.1,106,3,15167,89,111,8,6.6,11,1.19,9187.84,85881,B,Medium,Rural,778486.33
2596,4,1,1.7,25,2,18300,64,171.43,64,9.1,18,2.14,3774.06,188782,C,Low,Urban,849059.12
4885,6,4,17.1,107,2,18182,31,386.65,58,1,23,0.95,7270.28,142092,B,High,Rural,1131330.62
1104,2,3,9.3,1,2,5971,78,285.23,101,2.7,29,4.32,1456.33,135764,D,High,Rural,470004.88
1814,2,1,5.4,83,1,19144,20,46.21,135,9,15,1.95,4721.68,160435,E,Low,Urban,604548.68
2131,2,1,47.9,14,2,16883,17,215.09,122,2.9,3,2.48,5281.36,154842,E,High,Urban,701546.66
4040,6,3,30.2,115,1,1818,93,293.32,145,6.6,7,1.96,7697.81,140340,D,High,Urban,796740.87
1423,4,3,36.6,3,1,11360,59,454.76,90,5.4,7,1.9,3243.83,64121,C,Medium,Urban,455522.48
1528,1,4,16.1,85,1,12927,12,94.24,95,6,17,3.86,3009.79,93960,A,Medium,Rural,441719.59
5629,6,4,20,49,1,17023,23,402.98,57,4.2,22,3.86,3378.19,31990,A,High,Urban,1000485.39
5836,6,3,12.2,37,3,4065,29,65.31,31,3.1,20,2.83,5779.12,114258,B,Low,Urban,1169072.35
733,1,4,5.3,22,1,4259,1,121.12,47,0.6,27,3.46,8822.04,147640,D,High,Urban,462873.91
2705,2,3,9.4,58,2,18290,82,121.67,44,7.5,24,2.8,8393.94,64659,D,Medium,Urban,654153.85
4227,5,1,40,89,1,13300,24,438.74,99,7.5,16,0.63,1050.48,52137,A,Low,Rural,747697.19
5380,1,1,34,114,2,1602,49,99.51,99,6.7,16,0.8,8850.07,35573,C,High,Urban,772565.3
2452,4,2,27.6,74,1,5295,13,393.48,45,6.5,8,2.23,1403.54,167906,D,Low,Urban,750438.97
5510,3,1,24,27,3,10983,5,230.9,143,2.5,3,3.87,4445.81,29554,E,Low,Rural,892656.3
5868,3,3,46.2,119,1,4527,75,499.55,125,0.3,20,4.61,7771.34,127804,E,Low,Urban,1120043.16
4775,6,4,4.1,65,1,2811,83,419.55,45,8.1,15,0.63,1274.35,102164,D,High,Rural,1016985.2
3533,3,2,14.4,7,3,13103,86,369.85,120,5,1,2.16,883.8,33015,C,Medium,Rural,600293.1
3884,5,4,17.8,28,1,10032,29,435.36,87,3.1,10,1.51,3634.96,155806,E,Low,Rural,1013695.07
4898,2,3,39.2,10,2,13877,29,317.02,60,1.1,2,4.17,7434.29,131175,C,Low,Rural,965270.64
3411,4,1,49.6,100,1,8963,37,421.83,45,0.7,7,4.31,5456.69,79617,A,High,Urban,639164.52
5948,5,2,12.4,17,1,16224,57,130.56,80,3.6,14,1.43,4461.52,130041,B,Medium,Rural,1193564.84
1850,4,3,43.8,54,1,9916,93,48.85,44,8.1,16,3.7,8224.2,95195,A,Medium,Urban,404405.1
4112,4,2,41.6,49,3,7766,40,307.97,117,9.2,27,3.79,7783.74,140603,B,High,Rural,914122.36
1856,2,2,11.6,13,1,18186,93,217.35,46,9,28,1.3,7967.41,184653,E,Low,Rural,766622.78
3976,6,1,20.3,117,1,19966,56,213.22,22,9.2,15,2.45,4867.4,179989,B,High,Urban,1006507.33
5862,3,3,20.8,73,2,2665,35,263.37,60,9.1,7,3.29,684.77,157715,B,Medium,Urban,1272652.63
4086,2,4,48.9,98,1,16932,63,180.69,12,5.3,13,0.62,2135.3,33269,D,Low,Rural,709960.71
4184,5,2,9.5,8,1,7975,97,313.03,6,2.3,25,2.32,7542.35,38358,B,Low,Urban,802407.83
1996,6,2,40.1,98,1,3552,15,15.28,140,8,10,1.2,7655.15,118029,D,Medium,Rural,476896.54
4237,5,4,17,10,1,14219,87,484.95,27,2.2,9,2.94,9736.84,103857,B,Low,Urban,997629.27
3930,6,3,36.7,62,2,15274,77,462.35,95,2.7,9,4.29,2306.77,151275,D,High,Rural,983041.53
3303,5,2,21.3,107,2,13612,89,467.64,106,2.4,6,2.86,1667.8,101254,E,Medium,Urban,701896.97
1070,2,2,29.1,75,3,3808,71,182.5,97,5.2,24,0.66,1818.5,121892,E,Medium,Urban,315602.61
5731,6,2,41.7,66,1,12090,13,265.95,111,3.3,25,0.63,2255.49,76235,B,Low,Rural,966807.76
1953,6,3,40.3,52,3,13260,30,477.07,0,1.6,12,3.22,5520.45,55304,C,Medium,Rural,532414.85
3383,4,3,43.4,38,3,16295,65,451.17,42,4.6,23,1.98,9764.51,42172,E,High,Rural,596581.92
3431,4,4,3.5,77,1,15837,67,395.12,41,8.8,20,3.08,6099.6,93834,A,Medium,Urban,875757.08
5663,1,3,34.8,55,2,15669,64,203.67,94,5.7,20,1.24,5465.54,105731,A,Low,Urban,1042619.2
957,5,3,7.4,27,2,11523,54,282.17,128,8.8,22,4,6896.88,64857,D,Medium,Rural,341417.12
3619,4,1,21.1,74,1,13762,83,396.46,50,2,14,4.37,1202.34,161483,C,Low,Urban,1035579.52
1267,1,4,27.7,38,1,14769,77,136.51,143,1.8,27,4.5,8245.86,27825,D,Low,Rural,261163.32
5068,4,2,20.4,24,2,14731,39,313.22,14,5.8,20,1.87,6645.36,116774,B,High,Urban,1024532.13
5727,5,3,26.2,20,1,12877,24,413.97,124,4.7,27,3.47,2126.32,189814,E,Medium,Urban,1294351.13
1745,6,2,49.8,9,1,3456,24,353.73,86,6.6,7,1.76,6491.8,138624,C,High,Urban,492010.97
4785,3,2,7.2,42,1,6423,2,239.74,52,8,8,3.93,6163.98,174412,D,High,Rural,1093130.04
4319,5,1,33.9,14,2,15246,68,292.3,144,7.5,8,1.04,1116.1,47151,D,Medium,Urban,786800.33
3345,2,3,20.1,82,3,13846,25,494.34,88,9.4,8,3.93,3035.86,63327,A,High,Urban,705925.49
1139,4,4,7.1,47,3,5317,39,300.99,105,4,2,2.48,4213.95,160324,B,High,Urban,581332.2
3379,4,3,8.4,85,1,18940,37,392.81,5,2.1,14,4.35,2826.44,55314,D,Low,Urban,714684.41
5564,6,2,47.5,20,2,19589,37,363.3,30,5.6,10,3.83,2810.04,67368,A,High,Rural,1162100.11
4736,2,4,44,59,1,13635,67,350.75,39,1.2,18,2.19,5943.01,81110,C,Medium,Urban,942228.77
5435,6,3,45.4,115,2,14470,6,358.18,68,3,18,4.57,4973.16,148667,D,Low,Urban,1216251.11
4375,2,2,49.6,107,1,14176,93,227.2,134,2.2,18,1.78,6839.28,152744,A,High,Urban,968922.43
5920,3,2,10.8,95,2,10113,29,237.08,12,4,16,4.85,9585.87,35322,B,High,Urban,1058101
5624,4,1,18.1,49,2,14546,18,233.93,3,1.2,20,3.95,6775.28,162263,E,Medium,Rural,1280940.19
3108,4,1,33.6,22,3,7805,34,16.63,2,0.4,5,4.96,6029.91,188153,C,High,Urban,917637.81
3379,3,1,24.4,12,1,17788,32,120.53,139,6.6,20,0.74,8551.82,165737,D,Medium,Urban,908975.29
1524,1,2,21.2,68,3,19004,32,77.28,64,6.1,5,1.73,6504.69,81625,A,High,Urban,495149.15
3556,6,3,18.2,3,3,9080,77,443.22,26,7.1,20,3.84,2072.83,75504,D,High,Urban,762452.74
2181,3,1,29.9,91,2,4118,37,137.48,106,6.6,23,4.65,3490.11,195666,E,Medium,Rural,642534.32
3924,6,3,29,77,1,7630,9,69.22,49,1.2,10,0.63,7466.92,77631,D,Low,Urban,714632.73
5085,5,1,8.5,71,2,1565,56,59.88,16,3,17,0.5,7514.63,69239,D,Medium,Urban,949935.22
855,4,4,23.9,8,2,16701,27,349.99,31,1.4,13,1.65,9876.58,124583,A,Low,Rural,551514.3
5404,6,4,27.9,114,2,15859,77,3.04,16,8.4,17,4.34,6456.26,22967,E,Low,Urban,884035.38
2438,2,1,28.7,34,1,8670,99,235.65,33,7.5,18,3.95,9045.68,57018,C,Medium,Rural,452223.69
2544,6,2,10.9,100,1,10476,37,59.44,34,2.1,13,2.03,1018.51,175867,A,Medium,Urban,859111.65
609,5,1,37.2,20,2,9776,15,424.83,145,3.5,17,0.51,5879.11,88774,E,High,Urban,321737.1
3471,4,1,1.7,57,1,16021,20,479.23,49,9.7,28,3,9238.56,159585,E,High,Urban,935419.11
1397,3,2,18.1,17,2,5327,91,479.38,102,6,15,1.57,3228.82,88274,D,Low,Urban,435825.8
5572,5,4,39.1,96,1,16275,96,220.98,32,8,26,3.86,1971.33,90472,B,High,Urban,1071469.32
5724,4,3,28.4,71,1,8614,5,322.26,88,2.7,12,2.51,3829.85,54604,B,Medium,Urban,919415.35
1615,6,1,13.4,114,3,2245,40,299.85,128,2.2,28,3.55,8026.24,87104,C,Low,Urban,431799.06
2424,1,2,34.9,112,2,9243,14,175.02,84,7.9,10,4.34,1304.66,128818,D,High,Urban,687847.01
5069,1,1,28.6,80,3,11355,2,222.03,58,6.9,13,2.91,6203.22,116396,B,High,Urban,986970.98
3736,2,2,39.9,42,3,1537,42,32.16,9,6.8,11,2.01,1788.5,197887,A,Medium,Urban,890909.25
2793,4,3,36.9,94,2,16924,46,397.85,56,5.6,3,3.96,4637.56,24720,C,Medium,Urban,499048.47
823,1,3,30.7,97,2,17236,98,120.4,65,5.7,22,1.69,9676.78,60725,D,High,Urban,306909.04
5958,3,4,24.7,5,1,17924,13,230.26,118,7.4,10,4.51,2353.87,63923,A,Low,Rural,1167963.76
5548,4,2,7.1,85,2,18198,65,240.31,111,2.8,11,0.82,823.16,59293,B,Low,Urban,1081458.11
4758,3,2,13.4,77,3,2415,28,280.36,14,3.6,6,4.26,4558.43,50029,B,Medium,Rural,879322.26
5936,3,4,21.2,66,3,12030,3,408.94,12,8.7,1,0.91,5988.11,46585,B,Medium,Rural,953183.15
4525,1,4,30.2,11,2,2652,25,345.94,113,3.2,6,0.75,3326.42,78271,B,Medium,Urban,866419.15
5384,4,2,25.9,99,3,11857,11,331.53,117,5.5,5,2.13,5646.8,174970,E,High,Rural,1092213.85
4600,6,4,14.8,11,1,19740,1,263.37,141,7.1,7,4.8,9557.32,43449,C,High,Urban,939342.13
2233,5,3,0.8,108,3,4810,16,47.98,113,10,22,4.93,3461.82,157809,C,Medium,Urban,719208.12
2752,1,1,25.1,65,1,17569,34,201,33,4.4,12,1.41,3439.56,55308,B,Low,Rural,495894.05
1110,1,3,14.6,1,3,2551,9,478.66,100,4.3,12,1.17,5086.3,143374,C,Medium,Rural,465777.14
984,6,4,36.9,14,1,14584,85,497.77,24,8.4,7,2.09,5395.51,77175,A,Medium,Rural,384853.93
1004,4,2,1.7,22,1,1761,42,365.25,111,8.1,2,2.02,512.98,49059,A,Low,Urban,330140.06
5213,4,2,29.4,28,2,13511,20,113.76,53,7.3,28,3.92,6350.81,176520,C,Low,Rural,1187585.02
5171,3,3,47.1,80,1,10471,14,50.95,11,4.7,1,2.5,9974.89,170780,B,Low,Rural,1102208.45
2600,6,2,9.1,95,2,13467,34,207.38,125,3.3,23,4.01,3274.08,102549,D,Low,Rural,683166.04
3356,6,4,23.8,6,3,7163,84,428.29,136,6.1,25,3.87,6492.7,154058,B,High,Urban,929486.36
2268,4,3,5,93,3,17065,84,360.93,30,8.8,18,3.1,543.91,142767,E,High,Urban,745354.37
2060,3,2,31.5,27,3,12886,84,441.95,77,8.8,12,4.25,6241.1,72934,D,Medium,Rural,416050.62
4236,1,1,27.8,13,1,18920,59,307.89,52,1.2,7,1.38,4747.15,157557,E,High,Rural,958544.4
3324,2,1,20.7,43,3,7201,43,65.16,111,4.3,19,1.23,5537.78,140094,C,Medium,Rural,804978.72
5409,5,4,26.3,29,3,16580,95,57.4,42,4.7,22,3.88,5667.1,138156,E,Medium,Rural,1115090.16
4778,1,2,44.9,80,2,8399,4,24,41,9.8,3,1.6,2181.05,109064,C,Low,Rural,825186.67
5864,4,4,10.2,31,2,17945,72,283.54,123,6.8,29,0.51,7814.7,31772,E,Low,Rural,1009978.67
2648,5,3,1.6,109,3,8623,17,121.44,66,4.1,10,4.6,5776.96,163603,D,High,Rural,814640.05
4746,2,1,43.2,69,3,11327,20,367.19,65,0.4,29,3.3,3066.85,77564,E,High,Urban,845874.77
5380,2,3,29.1,114,1,8187,71,343.12,143,5.7,27,2.5,9405.12,58635,B,High,Rural,924476.45
1316,3,2,44.6,87,1,3180,97,159.06,82,1.1,27,3.77,621.35,176991,C,High,Rural,467231.89
5144,5,4,30,5,3,2960,73,88.4,93,8.4,11,2,7396.4,173972,A,Low,Urban,1137628.3
5576,3,4,40.6,26,2,6153,50,51.2,104,7.5,5,4.79,4121.73,57394,E,Low,Rural,1054837.76
5183,1,4,21.8,81,3,8035,40,368.66,143,4.7,2,0.81,5464.18,55030,C,High,Urban,911946.2
2423,6,3,37.6,87,1,12471,23,225.22,30,4.3,8,3.38,3269.34,87950,A,Medium,Rural,540917.73
